時刻,x軸の加速度,y軸の加速度,z軸の加速度,x軸の速度,y軸の加速度,z軸の加速度,PCから受信した値
2023-02-17 05:21:07.711487,-8.16893945,-98.89221992999998,-23.545766649999997,-0.003069460051818851,-0.03715852227446703,-0.008847267208182075,b''
2023-02-17 05:21:07.915350,-8.16893945,-98.79611475999998,-23.44966148,-0.0031629461447693075,-0.03825304278609565,-0.009079515992056031,b''
2023-02-17 05:21:08.119020,-8.26504462,-98.79611475999998,-23.353556309999995,-0.003135129449475471,-0.03747573341934185,-0.008858563444420042,b''
2023-02-17 05:21:08.323391,-8.072834279999999,-98.79611475999998,-23.545766649999997,-0.0030737677443397615,-0.03761706239515661,-0.008965155921003998,b''
2023-02-17 05:21:08.527357,-8.26504462,-98.89221992999998,-23.545766649999997,-0.003247450240564831,-0.038856119738738926,-0.00925145708066566,b''
2023-02-17 05:21:08.731342,-8.26504462,-98.89221992999998,-23.44966148,-0.003125276748491501,-0.037394299700054034,-0.008867064263142765,b''
2023-02-17 05:21:08.934929,-8.16893945,-98.79611475999998,-23.44966148,-0.0030986744558703094,-0.037475733419114476,-0.008895018438010993,b''
2023-02-17 05:21:09.138533,-8.16893945,-98.89221992999998,-23.44966148,-0.00296039294337902,-0.03583816869104339,-0.008498069155109533,b''
2023-02-17 05:21:09.342051,-8.072834279999999,-98.79611475999998,-23.44966148,-0.002850500957663371,-0.03488470219599549,-0.008280026591307887,b''
2023-02-17 05:21:09.545399,-8.072834279999999,-98.89221992999998,-23.44966148,-0.0029043929406498137,-0.035578813522761266,-0.008436569970456276,b''
2023-02-17 05:21:09.748911,-8.16893945,-98.89221992999998,-23.44966148,-0.002911702269969396,-0.035248725127075886,-0.008358298280882082,b''
2023-02-17 05:21:09.952405,-8.16893945,-98.79611475999998,-23.545766649999997,-0.00288833074674244,-0.0349318118546762,-0.008325188622904989,b''
2023-02-17 05:21:10.156014,-8.072834279999999,-98.89221992999998,-23.64187182,-0.0028774469491423815,-0.035248725127075886,-0.008426808922479267,b''
2023-02-17 05:21:10.359707,-8.16893945,-98.79611475999998,-23.353556309999995,-0.0029272832854587705,-0.03540290844057381,-0.008368586333745043,b''
2023-02-17 05:21:10.563289,-8.072834279999999,-98.79611475999998,-23.545766649999997,-0.002923640077426626,-0.035779785709337375,-0.008527283559146781,b''
2023-02-17 05:21:10.766915,-8.072834279999999,-98.79611475999998,-23.44966148,-0.0029467366415758534,-0.03606244366096689,-0.00855956833976279,b''
2023-02-17 05:21:10.970531,-8.16893945,-98.70000959,-23.44966148,-0.0030110312437301445,-0.0363803422037563,-0.008643430864367474,b''
2023-02-17 05:21:11.174236,-8.26504462,-98.89221992999998,-23.44966148,-0.0030287202789764933,-0.0362389903143594,-0.008593113349604664,b''
2023-02-17 05:21:11.378043,-8.072834279999999,-98.79611475999998,-23.353556309999995,-0.003017951047667111,-0.0369339723451958,-0.008730501245054256,b''
2023-02-17 05:21:11.581806,-7.8806239399999995,-99.08443026999998,-22.58471495,-0.0028803340196645877,-0.03621493139371523,-0.008254615788075625,b''
2023-02-17 05:21:11.785665,-7.8806239399999995,-98.50779924999999,-24.122397669999998,-0.0029460950703423805,-0.0368261883793366,-0.009017925154353179,b''
2023-02-17 05:21:11.989540,6.342941219999999,-100.62211298999999,-22.680820119999996,0.002369734976710447,-0.037592613948618236,-0.00847359779550061,b''
2023-02-17 05:21:12.193271,-19.79766502,-121.18861936999998,-6.535151559999999,-0.007977021666476958,-0.048830215152520395,-0.002633191618059527,b''
2023-02-17 05:21:12.397155,-7.784518769999999,-108.31052658999998,-13.070303119999998,-0.0028971752643514037,-0.04031008052993457,-0.004864393036427828,b''
2023-02-17 05:21:12.601151,-36.135543919999996,-106.86894903999998,17.202825429999997,-0.013646769897718514,-0.04035959608063422,0.006496733541752064,b''
2023-02-17 05:21:12.805025,-7.400098089999999,-27.389973449999996,36.90438528,-0.0027593978435476174,-0.010213355654627776,0.013761152882011629,b''
2023-02-17 05:21:13.008973,-17.779456449999998,-42.57459031,44.78500921999999,-0.0067229790519718335,-0.016098809297432126,0.01693463912556581,b''
2023-02-17 05:21:13.212780,-30.369233719999997,-77.46076701999999,75.05813776999999,-0.011794920380054918,-0.03008451210871499,0.029151369673627414,b''
2023-02-17 05:21:13.416406,-72.07887749999999,-94.95190795999999,31.522495759999998,-0.025674305673646813,-0.03382161867443756,0.011228229681307766,b''
2023-02-17 05:21:13.619907,-28.447130319999996,-81.88160484,21.335347739999996,-0.010031057773403518,-0.02887317980730586,0.007523293330052638,b''
2023-02-17 05:21:13.823298,-45.457745409999994,-53.14615900999999,-8.16893945,-0.01634366037330892,-0.01910791582758975,-0.002937021420137853,b''
2023-02-17 05:21:14.026776,-46.99542813,-72.75161369,-9.89883251,-0.01685169313134338,-0.026087385890377845,-0.003549538635013505,b''
2023-02-17 05:21:14.230304,-88.4167564,-65.3515156,33.925125009999995,-0.03107221101140567,-0.022966416834378833,0.011922272268407141,b''
2023-02-17 05:21:14.434016,-64.96709492,-30.177023379999998,1.0571568699999998,-0.02337344795091667,-0.01085689742097884,0.00038033717079954954,b''
2023-02-17 05:21:14.637666,-54.77994689999999,-71.40614131,52.56952799,-0.019930410139409105,-0.02597946444484478,0.019126200607502142,b''
2023-02-17 05:21:14.841516,-76.21139980999999,-90.24275463,41.99795928999999,-0.02723715026741047,-0.03225180845038267,0.015009627574841033,b''
2023-02-17 05:21:15.045167,-94.47138211,-122.53409174999999,48.148690169999995,-0.03385317023071366,-0.043909249282023666,0.0172537520708147,b''
2023-02-17 05:21:15.248927,-41.03690758999999,-140.60186370999998,44.400588539999994,-0.01500859647831021,-0.051422896130588924,0.016238809304354618,b''
2023-02-17 05:21:15.452810,-36.32775425999999,-82.16992034999998,36.039438749999995,-0.012939850059638047,-0.029268708468180193,0.012837152836937094,b''
2023-02-17 05:21:15.656547,-38.34596283,-65.92814661999999,7.496203259999999,-0.013869005587821448,-0.02384495697560851,0.0027112341750523683,b''
2023-02-17 05:21:15.860298,-36.32775425999999,-53.81889519999999,-12.013146249999998,-0.013303620944839167,-0.0197090680663905,-0.004399345550524458,b''
2023-02-17 05:21:16.064354,-34.405650859999994,-76.49971531999999,-11.436515229999998,-0.012435666728833894,-0.027650253397268898,-0.0041336434099150665,b''
2023-02-17 05:21:16.268301,-7.015677409999999,-88.99338741999999,-36.42385943,-0.002624415840216443,-0.0332905351788213,-0.013625391827986277,b''
2023-02-17 05:21:16.472093,-5.28578435,-100.14158713999998,-67.08140866,-0.001986121210009628,-0.03762796910586985,-0.025205683719605076,b''
2023-02-17 05:21:16.675942,10.28325319,-78.42181871999999,-70.44508961,0.0037780983843447302,-0.02881241384693567,-0.025881739399210346,b''
2023-02-17 05:21:16.879673,-10.475463529999999,-81.40107898999999,-75.05813776999999,-0.003846219500587722,-0.029887595568879988,-0.027558692018146758,b''
2023-02-17 05:21:17.083397,-24.122397669999998,-79.86339627,-59.87352090999999,-0.008994920243196702,-0.029779994908949448,-0.022326037097855078,b''
2023-02-17 05:21:17.287293,-14.60798584,-80.63223762999999,-63.81383288,-0.005391397972175582,-0.029759098017621,-0.023551896404796935,b''
2023-02-17 05:21:17.491173,-17.779456449999998,-75.15424293999999,-62.27615015999999,-0.006684828477318661,-0.028256950644617973,-0.023414966774453205,b''
2023-02-17 05:21:17.695021,-13.16640829,-80.7283428,-65.3515156,-0.004925273563117116,-0.03019875761356161,-0.024446613306054132,b''
2023-02-17 05:21:17.898482,-14.51188067,-76.78803083,-63.909938049999994,-0.005352468346700334,-0.028322001384140094,-0.023572128811565563,b''
2023-02-17 05:21:18.102466,-11.91704108,-78.32571355,-65.3515156,-0.004477800546197841,-0.029430705202685203,-0.024555680414550807,b''
2023-02-17 05:21:18.306400,-11.05209455,-79.28676524999999,-66.21646213,-0.004213404461239634,-0.030226597222053897,-0.02524378846783293,b''
2023-02-17 05:21:18.510327,-12.87809278,-77.07634633999999,-63.525517369999996,-0.004860406129580497,-0.029089893401987865,-0.02397558545976608,b''
2023-02-17 05:21:18.713809,-11.532620399999999,-80.24781695,-64.58267423999999,-0.004074893816181202,-0.02835446947096898,-0.022819405370682944,b''
2023-02-17 05:21:18.917279,-14.415775499999999,-80.05560660999998,-61.315098459999994,-0.005066121360528086,-0.028133860622119755,-0.02154790285362651,b''
